Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σωμάτων,σῶμα,—,—,—,—,neuter,genitive,plural,noun,Revelation 18:13,"σεμίδαλιν καὶ σῖτον καὶ κτήνη καὶ πρόβατα, καὶ ἵππων καὶ ῥεδῶν καὶ",", καὶ ψυχὰς ἀνθρώπων."
σώματί,σῶμα,—,—,—,—,neuter,dative,singular,noun,Galatians 6:17,Τοῦ λοιποῦ κόπους μοι μηδεὶς παρεχέτω· ἐγὼ γὰρ τὰ στίγματα τοῦ Ἰησοῦ ἐν τῷ,μου βαστάζω.
σώματί,σῶμα,—,—,—,—,neuter,dative,singular,noun,Philippians 1:20,ἀλλʼ ἐν πάσῃ παρρησίᾳ ὡς πάντοτε καὶ νῦν μεγαλυνθήσεται Χριστὸς ἐν τῷ,"μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου."
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,Matthew 27:52,καὶ τὰ μνημεῖα ἀνεῴχθησαν καὶ πολλὰ,"τῶν κεκοιμημένων ἁγίων ἠγέρθησαν,"
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,John 19:31,"Οἱ οὖν Ἰουδαῖοι, ἐπεὶ παρασκευὴ ἦν, ἵνα μὴ μείνῃ ἐπὶ τοῦ σταυροῦ τὰ","ἐν τῷ σαββάτῳ, ἦν γὰρ μεγάλη ἡ ἡμέρα ἐκείνου τοῦ σαββάτου, ἠρώτησαν τὸν"
σώματα,σῶμα,—,—,—,—,neuter,accusative,plural,noun,Romans 1:24,Διὸ  παρέδωκεν αὐτοὺς ὁ θεὸς ἐν ταῖς ἐπιθυμίαις τῶν καρδιῶν αὐτῶν εἰς ἀκαθαρσίαν τοῦ ἀτιμάζεσθαι τὰ,αὐτῶν ἐν αὐτοῖς·
σώματα,σῶμα,—,—,—,—,neuter,accusative,plural,noun,Romans 8:11,"οἰκεῖ ἐν ὑμῖν, ὁ ἐγείρας Χριστὸν ἐκ νεκρῶν ζῳοποιήσει καὶ τὰ θνητὰ",ὑμῶν διὰ τοῦ ἐνοικοῦντος αὐτοῦ πνεύματος ἐν ὑμῖν.
σώματα,σῶμα,—,—,—,—,neuter,accusative,plural,noun,Romans 12:1,"Παρακαλῶ οὖν ὑμᾶς, ἀδελφοί, διὰ τῶν οἰκτιρμῶν τοῦ θεοῦ παραστῆσαι τὰ","ὑμῶν θυσίαν ζῶσαν ἁγίαν εὐάρεστον τῷ θεῷ, τὴν λογικὴν λατρείαν ὑμῶν·"
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,1 Corinthians 6:15,οὐκ οἴδατε ὅτι τὰ,ὑμῶν μέλη Χριστοῦ ἐστιν; ἄρας οὖν τὰ μέλη τοῦ Χριστοῦ ποιήσω πόρνης μέλη; μὴ γένοιτο.
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,1 Corinthians 15:40,καὶ,"ἐπουράνια, καὶ σώματα ἐπίγεια· ἀλλʼ ἑτέρα μὲν ἡ τῶν ἐπουρανίων δόξα, ἑτέρα δὲ ἡ τῶν ἐπιγείων."
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,1 Corinthians 15:40,"καὶ σώματα ἐπουράνια, καὶ","ἐπίγεια· ἀλλʼ ἑτέρα μὲν ἡ τῶν ἐπουρανίων δόξα, ἑτέρα δὲ ἡ τῶν ἐπιγείων."
σώματα,σῶμα,—,—,—,—,neuter,accusative,plural,noun,Ephesians 5:28,οὕτως ὀφείλουσιν [καὶ] οἱ ἄνδρες ἀγαπᾶν τὰς ἑαυτῶν γυναῖκας ὡς τὰ ἑαυτῶν,. ὁ ἀγαπῶν τὴν ἑαυτοῦ γυναῖκα ἑαυτὸν ἀγαπᾷ.
σώματα,σῶμα,—,—,—,—,neuter,nominative,plural,noun,Hebrews 13:11,"ὧν γὰρ εἰσφέρεται ζῴων τὸ αἷμα περὶ ἁμαρτίας εἰς τὰ ἅγια διὰ τοῦ ἀρχιερέως, τούτων τὰ",κατακαίεται ἔξω τῆς παρεμβολῆς.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Matthew 6:25,"Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί φάγητε [ἢ τί πίητε], μηδὲ τῷ",ὑμῶν τί ἐνδύσησθε. οὐχὶ ἡ ψυχὴ πλεῖόν ἐστιν τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος;
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Mark 5:29,καὶ εὐθὺς ἐξηράνθη ἡ πηγὴ τοῦ αἵματος αὐτῆς καὶ ἔγνω τῷ,ὅτι ἴαται ἀπὸ τῆς μάστιγος.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Luke 12:22,"Εἶπεν δὲ πρὸς τοὺς μαθητὰς [αὐτοῦ]· διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ  τί φάγητε, μηδὲ τῷ",τί ἐνδύσησθε.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Romans 6:12,Μὴ οὖν βασιλευέτω ἡ ἁμαρτία ἐν τῷ θνητῷ ὑμῶν,"εἰς τὸ ὑπακούειν ταῖς ἐπιθυμίαις αὐτοῦ,"
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Romans 12:4,καθάπερ γὰρ ἐν ἑνὶ,"πολλὰ μέλη ἔχομεν, τὰ δὲ μέλη πάντα οὐ τὴν αὐτὴν ἔχει πρᾶξιν,"
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 5:3,"ἐγὼ μὲν γάρ,  ἀπὼν τῷ","παρὼν δὲ τῷ πνεύματι, ἤδη κέκρικα ὡς παρὼν τὸν οὕτως τοῦτο κατεργασάμενον·"
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 6:13,"δὲ σῶμα οὐ τῇ πορνείᾳ ἀλλὰ τῷ κυρίῳ, καὶ ὁ κύριος τῷ",·
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 6:20,ἠγοράσθητε γὰρ τιμῆς· δοξάσατε δὴ τὸν θεὸν ἐν τῷ,ὑμῶν.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 7:34,"καὶ ἡ παρθένος μεριμνᾷ τὰ τοῦ κυρίου, ἵνα ᾖ ἁγία καὶ τῷ","καὶ τῷ πνεύματι· ἡ δὲ γαμήσασα μεριμνᾷ τὰ τοῦ κόσμου, πῶς ἀρέσῃ τῷ ἀνδρί."
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 12:18,"νυνὶ δὲ ὁ θεὸς ἔθετο τὰ μέλη, ἓν ἕκαστον αὐτῶν ἐν τῷ",καθὼς ἠθέλησεν.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 12:25,ἵνα μὴ ᾖ σχίσμα ἐν τῷ,ἀλλὰ τὸ αὐτὸ ὑπὲρ ἀλλήλων μεριμνῶσιν τὰ μέλη.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 15:35,Ἀλλʼ ἐρεῖ τις· πῶς ἐγείρονται οἱ νεκροί; ποίῳ δὲ,ἔρχονται;
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 4:10,πάντοτε τὴν νέκρωσιν τοῦ Ἰησοῦ ἐν τῷ,"περιφέροντες, ἵνα καὶ ἡ ζωὴ τοῦ Ἰησοῦ ἐν τῷ σώματι ἡμῶν φανερωθῇ."
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 4:10,"πάντοτε τὴν νέκρωσιν τοῦ Ἰησοῦ ἐν τῷ σώματι περιφέροντες, ἵνα καὶ ἡ ζωὴ τοῦ Ἰησοῦ ἐν τῷ",ἡμῶν φανερωθῇ.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 5:6,Θαρροῦντες οὖν πάντοτε καὶ εἰδότες ὅτι ἐνδημοῦντες ἐν τῷ,ἐκδημοῦμεν ἀπὸ τοῦ κυρίου·
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 12:2,"οἶδα ἄνθρωπον ἐν Χριστῷ πρὸ ἐτῶν δεκατεσσάρων, εἴτε ἐν","οὐκ οἶδα, εἴτε ἐκτὸς τοῦ σώματος οὐκ οἶδα, ὁ θεὸς οἶδεν, ἁρπαγέντα τὸν τοιοῦτον ἕως τρίτου οὐρανοῦ."
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 12:3,"καὶ οἶδα τὸν τοιοῦτον ἄνθρωπον, εἴτε ἐν","εἴτε χωρὶς τοῦ σώματος οὐκ οἶδα, ὁ θεὸς οἶδεν,"
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Ephesians 2:16,καὶ ἀποκαταλλάξῃ τοὺς ἀμφοτέρους ἐν ἑνὶ,"τῷ θεῷ διὰ τοῦ σταυροῦ, ἀποκτείνας τὴν ἔχθραν ἐν αὐτῷ."
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Philippians 3:21,ὃς μετασχηματίσει τὸ σῶμα τῆς ταπεινώσεως ἡμῶν  σύμμορφον τῷ,τῆς δόξης αὐτοῦ κατὰ τὴν ἐνέργειαν τοῦ δύνασθαι αὐτὸν καὶ ὑποτάξαι αὐτῷ τὰ πάντα.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Colossians 1:22,νυνὶ δὲ ἀποκατήλλαξεν ἐν τῷ,"τῆς σαρκὸς αὐτοῦ διὰ τοῦ θανάτου  παραστῆσαι ὑμᾶς ἁγίους καὶ ἀμώμους καὶ ἀνεγκλήτους κατενώπιον αὐτοῦ,"
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Colossians 3:15,"καὶ ἡ εἰρήνη τοῦ Χριστοῦ βραβευέτω ἐν ταῖς καρδίαις ὑμῶν, εἰς ἣν καὶ ἐκλήθητε ἐν ἑνὶ",· καὶ εὐχάριστοι γίνεσθε.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,Hebrews 13:3,"μιμνῄσκεσθε τῶν δεσμίων ὡς συνδεδεμένοι, τῶν κακουχουμένων ὡς καὶ αὐτοὶ ὄντες ἐν",.
σώματι,σῶμα,—,—,—,—,neuter,dative,singular,noun,1 Peter 2:24,ὃς τὰς ἁμαρτίας ἡμῶν αὐτὸς ἀνήνεγκεν        ἐν τῷ,"αὐτοῦ ἐπὶ τὸ ξύλον,        ἵνα ταῖς ἁμαρτίαις ἀπογενόμενοι        τῇ δικαιοσύνῃ ζήσωμεν,        οὗ τῷ μώλωπι  ἰάθητε."
σώματος,σῶμα,—,—,—,—,neuter,genitive,singular,noun,Romans 7:4,"ὥστε, ἀδελφοί μου, καὶ ὑμεῖς ἐθανατώθητε τῷ νόμῳ διὰ τοῦ","τοῦ Χριστοῦ, εἰς τὸ γενέσθαι ὑμᾶς ἑτέρῳ, τῷ ἐκ νεκρῶν ἐγερθέντι, ἵνα καρποφορήσωμεν τῷ θεῷ."
