Lemma	Gloss	Part	Chapter
ἀγαθός	good	adjective	10
ἀγαπητός	beloved, dear	adjective	10
ἅγιος	holy; saints (pl. substantive)	adjective	10
δίκαιος	righteous, just	adjective	10
ἕτερος	other, another, different	adjective	10
κακός	bad, evil	adjective	10
καλός	good, excellent; beautiful, handsome	adjective	10
νεκρός	dead	adjective	10
πιστός	faithful, believing	adjective	10
πονηρός	evil, wicked	adjective	10
αἰώνιος	eternal	adjective	11
πᾶς	all, every; whole	adjective	12
τυφλός	blind	adjective	20
ἄλλος	other, another	adjective	23
λοιπός	remaining, rest	adjective	23
ἕκαστος	each	adjective	25
δεξιός	right; ἐν δεξιᾷ (χειρί) on the right (hand)	adjective	28
μέσος	middle; ἐν μέσῳ in the midst	adjective	28
ἀληθής	true; genuine	adjective	29
μακάριος	blessed	adjective	29
μέγας	great; large	adjective	29
πολύς	much, many; often (adv.)	adjective	29
ἔσχατος	last, final	adjective	30
μηδείς	no one	adjective	30
μόνος	only, the single	adjective	30
ὅλος	whole, entire	adjective	30
οὐδείς	no one	adjective	30
