Lemma	Gloss	Part	Chapter
ἀγάπη	love	noun	2
ἀλήθεια	truth	noun	2
δικαιοσύνη	righteousness	noun	2
εἰρήνη	peace	noun	2
καρδία	heart	noun	2
κεφαλή	head	noun	2
σοφία	wisdom	noun	2
φωνή	voice; sound	noun	2
χαρά	joy	noun	2
ψυχή	soul; life	noun	2
ἄνθρωπος	man; mankind	noun	3
δαιμόνιον	demon	noun	3
δοῦλος	slave	noun	3
εὐαγγέλιον	good news; gospel	noun	3
θεός	God	noun	3
κύριος	lord; Lord	noun	3
λόγος	word; reason; account	noun	3
παιδίον	little child; dear child	noun	3
τέκνον	child	noun	3
υἱός	son	noun	3
αἰών	age; the world	noun	11
ἀνήρ	man; husband	noun	11
γυνή	woman; wife	noun	11
ὄνομα	name	noun	11
πνεῦμα	Spirit; spirit; breath; wind	noun	11
πούς	foot	noun	11
σάρξ	flesh	noun	11
σῶμα	body	noun	11
φῶς	light	noun	11
χείρ	hand	noun	11
ἀρχιερεύς	high priest	noun	12
βασιλεύς	king	noun	12
γραμματεύς	scribe	noun	12
δύναμις	power	noun	12
ἔθνος	nation; Gentiles	noun	12
μήτηρ	mother	noun	12
ὄρος	mountain	noun	12
πατήρ	father	noun	12
πίστις	faith, trust	noun	12
πόλις	city	noun	12
βασιλεία	kingdom	noun	14
ἔργον	work; deed	noun	14
λαός	people	noun	15
ὄχλος	crowd	noun	15
οἰκία	house	noun	16
οἶκος	house	noun	16
ἐκκλησία	church; assembly	noun	17
νόμος	law	noun	17
σάββατον	Sabbath	noun	17
ἄγγελος	angel	noun	18
ἀπόστολος	apostle	noun	18
ἀρχή	beginning; ruler	noun	19
γῆ	earth; land	noun	19
ζωή	life	noun	19
ἡμέρα	day	noun	19
θάνατος	death	noun	19
κόσμος	world; order; ornament	noun	19
νύξ	night	noun	19
οὐρανός	heaven; sky	noun	19
στόμα	mouth; edge	noun	19
ἄρτος	bread; loaf	noun	20
γλῶσσα	tongue; language	noun	20
δόξα	glory	noun	20
θάλασσα	sea; lake	noun	20
καρπός	fruit	noun	20
ὀφθαλμός	eye	noun	20
πρόσωπον	face; presence	noun	20
γραφή	scripture; writing	noun	21
ἐντολή	commandment	noun	21
καιρός	time; season	noun	21
παραβολή	parable	noun	21
ῥῆμα	word; saying; statement	noun	21
χρόνος	time	noun	21
ὥρα	hour; time	noun	21
ἀδελφός	brother	noun	23
διδάσκαλος	teacher	noun	24
ἔρημος	wilderness; desert	noun	24
θρόνος	throne	noun	24
Ἰησοῦς	Jesus	noun	24
Ἰωάννης	John	noun	24
μαθητής	disciple	noun	24
ὁδός	way; road; path	noun	24
προφήτης	prophet	noun	24
σημεῖον	sign; sign miracle	noun	24
συναγωγή	synagogue	noun	24
Χριστός	Christ	noun	24
ἐπαγγελία	promise	noun	25
ὕδωρ	water	noun	25
χάρις	grace	noun	25
ἁμαρτία	sin	noun	26
θέλημα	will	noun	26
ἱμάτιον	clothing; outer garment	noun	26
πλοῖον	boat; ship	noun	26
αἷμα	blood	noun	27
ἱερόν	temple	noun	27
πῦρ	fire	noun	27
τόπος	place; occasion	noun	27
πρεσβύτερος	elder	noun	29
ἐλπίς	hope; expectation	noun	30
