Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Philippians 1:27,—,"ἀξίως τοῦ εὐαγγελίου τοῦ Χριστοῦ πολιτεύεσθε, ἵνα εἴτε ἐλθὼν καὶ ἰδὼν ὑμᾶς εἴτε"
μόνα,μόνος,—,—,—,—,neuter,accusative,plural,adjective,Luke 24:12,Ὁ δὲ Πέτρος ἀναστὰς ἔδραμεν ἐπὶ τὸ μνημεῖον καὶ παρακύψας βλέπει τὰ ὀθόνια,", καὶ ἀπῆλθεν πρὸς ἑαυτὸν θαυμάζων τὸ γεγονός."
μόνας,μόνος,—,—,—,—,feminine,accusative,plural,adjective,Mark 4:10,Καὶ ὅτε ἐγένετο κατὰ,", ἠρώτων αὐτὸν οἱ περὶ αὐτὸν σὺν τοῖς δώδεκα τὰς παραβολάς."
μόνας,μόνος,—,—,—,—,feminine,accusative,plural,adjective,Luke 9:18,Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν προσευχόμενον κατὰ,"συνῆσαν αὐτῷ οἱ μαθηταί, καὶ ἐπηρώτησεν αὐτοὺς λέγων· τίνα με λέγουσιν οἱ ὄχλοι εἶναι;"
μόνην,μόνος,—,—,—,—,feminine,accusative,singular,adjective,Luke 10:40,"ἡ δὲ Μάρθα περιεσπᾶτο περὶ πολλὴν διακονίαν· ἐπιστᾶσα δὲ εἶπεν· κύριε, οὐ μέλει σοι ὅτι ἡ ἀδελφή μου",με κατέλιπεν διακονεῖν; εἰπὲ οὖν αὐτῇ ἵνα μοι συναντιλάβηται.
μόνοι,μόνος,—,—,—,—,masculine,nominative,plural,adjective,John 6:22,ὅτι οὐ συνεισῆλθεν τοῖς μαθηταῖς αὐτοῦ ὁ Ἰησοῦς εἰς τὸ πλοῖον ἀλλὰ,οἱ μαθηταὶ αὐτοῦ ἀπῆλθον·
μόνοι,μόνος,—,—,—,—,masculine,nominative,plural,adjective,Philippians 4:15,οὐδεμία μοι ἐκκλησία ἐκοινώνησεν εἰς λόγον δόσεως καὶ λήμψεως εἰ μὴ ὑμεῖς,","
μόνοι,μόνος,—,—,—,—,masculine,nominative,plural,adjective,Colossians 4:11,"καὶ Ἰησοῦς ὁ λεγόμενος Ἰοῦστος, οἱ ὄντες ἐκ περιτομῆς, οὗτοι","συνεργοὶ εἰς τὴν βασιλείαν τοῦ θεοῦ, οἵτινες ἐγενήθησάν μοι παρηγορία."
μόνοι,μόνος,—,—,—,—,masculine,nominative,plural,adjective,1 Thessalonians 3:1,Διὸ μηκέτι στέγοντες εὐδοκήσαμεν καταλειφθῆναι ἐν Ἀθήναις,*
μόνοις,μόνος,—,—,—,—,masculine,dative,plural,adjective,Matthew 12:4,ἐξὸν ἦν αὐτῷ φαγεῖν οὐδὲ τοῖς μετʼ αὐτοῦ εἰ μὴ τοῖς ἱερεῦσιν,;
μόνον,μόνος,—,—,—,—,—,—,—,adverb,Matthew 10:42,καὶ ὃς ἂν ποτίσῃ ἕνα τῶν μικρῶν τούτων ποτήριον ψυχροῦ,"εἰς ὄνομα μαθητοῦ, ἀμὴν λέγω ὑμῖν, οὐ μὴ ἀπολέσῃ τὸν μισθὸν αὐτοῦ."
μόνον,μόνος,—,—,—,—,—,—,—,adverb,Philippians 1:29,"ὅτι ὑμῖν ἐχαρίσθη τὸ ὑπὲρ Χριστοῦ, οὐ","τὸ εἰς αὐτὸν πιστεύειν ἀλλὰ καὶ τὸ ὑπὲρ αὐτοῦ πάσχειν,"
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 5:47,καὶ ἐὰν ἀσπάσησθε τοὺς ἀδελφοὺς ὑμῶν,", τί περισσὸν ποιεῖτε; οὐχὶ καὶ οἱ ἐθνικοὶ τὸ αὐτὸ ποιοῦσιν;"
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 8:8,"καὶ ἀποκριθεὶς ὁ ἑκατόνταρχος ἔφη· κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς, ἀλλὰ","εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου."
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 9:21,ἔλεγεν γὰρ ἐν ἑαυτῇ· ἐὰν,ἅψωμαι τοῦ ἱματίου αὐτοῦ σωθήσομαι.
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 14:36,καὶ παρεκάλουν αὐτὸν ἵνα,ἅψωνται τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ· καὶ ὅσοι ἥψαντο διεσώθησαν.
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 17:8,ἐπάραντες δὲ τοὺς ὀφθαλμοὺς αὐτῶν οὐδένα εἶδον εἰ μὴ αὐτὸν Ἰησοῦν,.
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 21:19,καὶ ἰδὼν συκῆν μίαν ἐπὶ τῆς ὁδοῦ ἦλθεν ἐπʼ αὐτὴν καὶ οὐδὲν εὗρεν ἐν αὐτῇ εἰ μὴ φύλλα,", καὶ λέγει αὐτῇ·  μηκέτι ἐκ σοῦ καρπὸς γένηται εἰς τὸν αἰῶνα. καὶ ἐξηράνθη παραχρῆμα ἡ συκῆ."
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Matthew 21:21,"ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· ἀμὴν λέγω ὑμῖν, ἐὰν ἔχητε πίστιν καὶ μὴ διακριθῆτε, οὐ","τὸ τῆς συκῆς ποιήσετε, ἀλλὰ κἂν τῷ ὄρει τούτῳ εἴπητε· ἄρθητι καὶ βλήθητι εἰς τὴν θάλασσαν, γενήσεται·"
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:36,"ὁ δὲ Ἰησοῦς παρακούσας τὸν λόγον λαλούμενον λέγει τῷ ἀρχισυναγώγῳ· μὴ φοβοῦ,",πίστευε.
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:8,καὶ παρήγγειλεν αὐτοῖς ἵνα μηδὲν αἴρωσιν εἰς ὁδὸν εἰ μὴ ῥάβδον,", μὴ ἄρτον, μὴ πήραν, μὴ εἰς τὴν ζώνην χαλκόν,"
μόνον,μόνος,—,—,—,—,—,—,—,"adverb, adjective",Mark 9:8,καὶ ἐξάπινα περιβλεψάμενοι οὐκέτι οὐδένα εἶδον ἀλλὰ τὸν Ἰησοῦν,μεθʼ ἑαυτῶν.
